785,"Cadena Comercial OXXO, S.A. de C.V.",Congo CUF,Av. Rio Danubio y Rio Congo, S/N,Chihuahua
786,"Cadena Comercial OXXO, S.A. de C.V.",Nueva España CUF,Av. Nueva España y Calle 23 De Septiembre, S/N,Chihuahua
787,"Cadena Comercial OXXO, S.A. de C.V.",Guerrero CUU,Av. Vicente Guerrero y Callejon San Jose, S/N,Chihuahua
788,"Cadena Comercial OXXO, S.A. de C.V.",Vistas del Sol CUU,Perif. De La Juventud Esq. C. Paseo Vistas Del Sol, S/N,Chihuahua
789,"Cadena Comercial OXXO, S.A. de C.V.",Lerdo CUF,Av. Ocampo y Calle Jimenez, S/N,Chihuahua
790,"Cadena Comercial OXXO, S.A. de C.V.",Los Trigales CUU,Av. Venezuela y C. Campo Real, S/N,Chihuahua
791,"Cadena Comercial OXXO, S.A. de C.V.",Guillermo Baca CUU,Plaza Guillermo Baca,4,Chihuahua
792,"Cadena Comercial OXXO, S.A. de C.V.",De la Llave CUU,Ave De La Llave y C. 12, S/N,Chihuahua
793,"Cadena Comercial OXXO, S.A. de C.V.",Romanzza CUU,Blvd. Romanzza y Calle Libia, S/N,Chihuahua
794,"Cadena Comercial OXXO, S.A. de C.V.",Paraíso CUU,Libramiento Chihuahua - Delicias, S/N,Chihuahua
795,"Cadena Comercial OXXO, S.A. de C.V.",Las Varas CUF,Carretera Libre Delicias-Saucillo, S/N,Chihuahua
796,"Cadena Comercial OXXO, S.A. de C.V.",Jesus Rentería CUU,Av. Fco R. Almada y Calle Jesus Renteria, S/N,Chihuahua
797,"Cadena Comercial OXXO, S.A. de C.V.",Haití CUU,Av. Ortiz Mena y C. Republica De Haiti, S/N,Chihuahua
798,"Cadena Comercial OXXO, S.A. de C.V.",Meoqui CUU,Av. Juarez y Carret. A Rosales, S/N,Chihuahua
799,"Cadena Comercial OXXO, S.A. de C.V.",Atenas CUF,Vialidad Los Nogales, S/N,Chihuahua
800,"Cadena Comercial OXXO, S.A. de C.V.",Camilo Torres CUU,Calle Camilo Torres y Calle S/N, S/N,Chihuahua
801,"Cadena Comercial OXXO, S.A. de C.V.",Del Parque CUU,Av. Del Parque Oriente y Av. Gomez Morin Oriente, S/N,Chihuahua
802,"Cadena Comercial OXXO, S.A. de C.V.",Santuario CUU,Av. Teofilo Borunda, S/N,Chihuahua
803,"Cadena Comercial OXXO, S.A. de C.V.",Panamá CUU,Antonio De Montes, S/N,Chihuahua
804,"Cadena Comercial OXXO, S.A. de C.V.",Los Portales CUU,Puerta De Hierro,17101,Chihuahua
805,"Cadena Comercial OXXO, S.A. de C.V.",Paseos CUU,Av. Cristobal Colon Esq. Paseos De Batopilas,14535,Chihuahua
806,"Cadena Comercial OXXO, S.A. de C.V.",GAN CUU,Av. Allende y C. 7A, S/N,Chihuahua
807,"Cadena Comercial OXXO, S.A. de C.V.",Plan de Ayala CUU,Periferico R. Almada y C. 15 De Enero, S/N,Chihuahua
808,"Cadena Comercial OXXO, S.A. de C.V.",Las Misiones CUU,Periferico De La Juventud #4301,4301,Chihuahua
809,"Cadena Comercial OXXO, S.A. de C.V.",Parral CUU,Cd. Parral,209,Chihuahua
810,"Cadena Comercial OXXO, S.A. de C.V.",Ranchería CUU,7A y 16 De Sep., S/N,Chihuahua
811,"Cadena Comercial OXXO, S.A. de C.V.",Real de Minas CUU,Nogales,4501,Chihuahua
812,"Cadena Comercial OXXO, S.A. de C.V.",Robinson CUU,Perif. Lombardo Toledano, S/N,Chihuahua
813,"Cadena Comercial OXXO, S.A. de C.V.",Roma CUU,Garcia Salinas Esq. Calle Tascate,6320,Chihuahua
814,"Cadena Comercial OXXO, S.A. de C.V.",Aeropuerto CUU,calle 77,7502,Chihuahua
815,"Cadena Comercial OXXO, S.A. de C.V.",Rosales CUU,Rosales,1013,Chihuahua
816,"Cadena Comercial OXXO, S.A. de C.V.",Reyes CUU,Cd. Jimenez y Esq. Pascual Orozco,2101,Chihuahua
817,"Cadena Comercial OXXO, S.A. de C.V.",Universidad CUU,Av. Universidad,1104,Chihuahua
818,"Cadena Comercial OXXO, S.A. de C.V.",Sorbona CUU,Mirador,7713,Chihuahua
819,"Cadena Comercial OXXO, S.A. de C.V.",Tabalaopa CUU,Av. Palestia,4002,Chihuahua
820,"Cadena Comercial OXXO, S.A. de C.V.",Cuauhtémoc CUU,80A y Coronado, S/N,Chihuahua
821,"Cadena Comercial OXXO, S.A. de C.V.",Trinidad CUU,Trinidad Rodriguez Esq. Ave De Las Industrias,65,Chihuahua
822,"Cadena Comercial OXXO, S.A. de C.V.",Manzanos CUU,Av. 16 De Septiembre Km. 98+200 Carretera Chihuahu, S/N,Chihuahua
823,"Cadena Comercial OXXO, S.A. de C.V.",Santa Rosa CUF,Carretera Parral-Chihuahua, S/N,Chihuahua
824,"Cadena Comercial OXXO, S.A. de C.V.",Punta Oriente CUU,Perif. R. Almada Esq. Av. Parques De Oriente, S/N,Chihuahua
825,"Cadena Comercial OXXO, S.A. de C.V.",Belisario CUU,Av. Belisario Chavez y C. Guatemala, S/N,Chihuahua
826,"Cadena Comercial OXXO, S.A. de C.V.",Venezuela CUU,Carretera A Alvaro Obregon y Calle Venezuela, S/N,Chihuahua
827,"Cadena Comercial OXXO, S.A. de C.V.",Campus Univ.CUU,Av.Campo Del Nte,10145,Chihuahua
828,"Cadena Comercial OXXO, S.A. de C.V.",Trillenium CUU,Lat. Perif. De La Juventud y C. Fuente Trillenium , S/N,Chihuahua
829,"Cadena Comercial OXXO, S.A. de C.V.",Ojos Azules CUU,Av. Monte Everest y Av. Dostoievsky, S/N,Chihuahua
